otu_id,Phylum,Class,Order,Family,Genus,Species
OTU718,Arthropoda,Insecta,Coleoptera,Staphylinidae,Quedius,Quedius boopoides
OTU722,NA,NA,NA,NA,NA,NA
OTU725,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hyphydrus,Hyphydrus ovatus
OTU726,Arthropoda,NA,NA,NA,NA,NA
OTU730,NA,NA,NA,NA,NA,NA
OTU731,NA,NA,NA,NA,NA,NA
OTU733,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,Dendrobaena attemsi
OTU745,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Achaeta,Achaeta iberica
OTU751,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Fridericia,Fridericia paroniana
OTU753,Arthropoda,Insecta,Diptera,NA,NA,NA
OTU755,NA,NA,NA,NA,NA,NA
OTU763,NA,NA,NA,NA,NA,NA
OTU769,NA,NA,NA,NA,NA,NA
OTU770,Arthropoda,Insecta,Diptera,Ephydridae,Nostima,Nostima picta
OTU773,NA,NA,NA,NA,NA,NA
OTU775,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,NA
OTU777,NA,NA,NA,NA,NA,NA
OTU779,NA,NA,NA,NA,NA,NA
OTU781,NA,NA,NA,NA,NA,NA
OTU783,Arthropoda,Insecta,Diptera,Heleomyzidae,Suillia,Suillia bicolor
OTU786,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Corynoneura scutellata
OTU787,NA,NA,NA,NA,NA,NA
OTU789,NA,NA,NA,NA,NA,NA
OTU792,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Pseudosinella,Pseudosinella alba
